Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
A. Morin,Bolivia,797,2012,70%,France,3.5,Criollo (Ocumare 77),Bolivia
A. Morin,Peru,797,2012,63%,France,3.75,"Criollo, Trinitario",Peru
A. Morin,Brazil,1011,2013,70%,France,3.25,Criollo (Wild),Brazil
A. Morin,Birmanie,1015,2013,70%,France,3.0,"Criollo, Trinitario",Burma
A. Morin,Colombie,1015,2013,70%,France,2.75,Matina,Colombia
A. Morin,Equateur,1011,2013,70%,France,3.75,Forastero (Amelonado),Ecuador
A. Morin,Madagascar,1011,2013,70%,France,3.0,Criollo,Madagascar
A. Morin,Panama,1011,2013,70%,France,2.75,Forastero (Parazinho),Panama
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25,Criollo (Porcelana),Papua New Guinea
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0,"Criollo, Trinitario",Peru
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5,Criollo (Ocumare 61),Peru
A. Morin,Piura,1019,2013,70%,France,3.25,"Trinitario, Criollo",Peru
A. Morin,Chuao,1015,2013,70%,France,4.0,Trinitario,Venezuela
A. Morin,Cuba,1315,2014,70%,France,3.5,"Blend-Forastero,Criollo",Cuba
A. Morin,Pablino,1319,2014,70%,France,4.0,"Forastero, Trinitario",Peru
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
A. Morin,Quilla,1704,2015,70%,France,3.5,Beniano,Peru
A. Morin,Akata,1680,2015,70%,France,3.5,"Trinitario, Criollo",Togo
A. Morin,Atsane,1676,2015,70%,France,3.0,Blend,Togo
A. Morin,Kpime,1676,2015,70%,France,2.75,Criollo (Amarru),Togo
A. Morin,Agua Grande,1876,2016,63%,France,3.75,Criollo,Sao Tome
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75,"Trinitario, Criollo",Peru
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Adi aka Fijiana (Easy In Ltd),Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,316,2009,70%,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5,Blend,Peru
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Trinitario,Madagascar
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam
Alain Ducasse,Mexique,1992,2017,75%,France,3.5,Criollo (Porcelana),Mexico
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam
Altus aka Cao Artisan,Oko Caribe,2044,2018,70%,U.S.A.,3.0,Nacional (Arriba),Dominican Republic
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25,Amazon mix,Bolivia
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.0,Criollo (Wild),Bolivia
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.0,Trinitario,Dominican Republic
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25,"Blend-Forastero,Criollo",Peru
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5,Forastero (Nacional),Venezuela
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5,Trinitario (Scavina),Bolivia
