torneo_id,year,elo_colombia,fifa_rank,avg_age,market_value_meur,wins_last10,draws_last10,losses_last10,goals_scored_last10,goals_conceded_last10,clean_sheets_last10,form_index,qual_position,injuries_key_players,coach_experience_years,home_continent,avg_height_cm,sprint_speed_kmh,prev_world_cups,group_rival_avg_elo,group_rival_max_elo,tournament_avg_elo,octavos_rival_elo,cuartos_rival_elo,semis_rival_elo,final_rival_elo,luck_factor,media_pressure,prep_days,altitude_m,climate,group_points_scored,target_ronda
1,2010,1796.6,16,25.2,403.8,4,0,6,4,5,2,0.4,3,1,10.4,0,179.8,30.1,2,1592.8,1729.4,1802.5,1816.9,2067.2,2093.1,2112.4,-0.1288,4.0,43,0.0,1,3,2
2,1999,1856.6,6,27.5,710.1,2,4,4,7,5,3,0.3333,3,2,6.6,0,182.5,32.0,0,1731.2,1877.8,1756.6,1872.7,1959.7,1970.8,2002.0,-0.0152,6.3,32,1000.0,2,3,0
3,2001,1824.6,20,26.6,504.7,3,5,2,9,11,4,0.4667,1,1,3.1,0,179.9,32.7,2,1500.0,1600.9,1686.5,1781.0,1853.2,1961.4,2022.0,0.2579,2.0,27,0.0,1,4,1
4,2009,1874.1,1,25.3,348.9,3,0,7,14,8,3,0.3,1,3,3.8,0,177.8,32.7,4,1664.9,1736.9,1800.3,1845.3,1970.6,2235.4,2204.1,0.0723,7.4,42,2000.0,2,3,5
5,2016,1791.0,8,26.2,584.0,6,1,3,15,6,1,0.6333,4,2,0.6,0,184.7,33.7,6,1863.5,1941.9,1662.9,1750.6,1867.6,1881.5,1985.1,-0.1571,5.9,39,0.0,1,4,1
6,2010,1932.0,8,27.2,638.5,6,0,4,17,10,0,0.6,2,4,0.6,0,173.4,32.4,4,1908.5,1997.8,1600.0,1712.9,1741.6,1936.6,1952.7,-0.0175,10.0,30,0.0,1,3,1
7,1994,1823.6,13,26.2,698.7,4,3,3,10,2,1,0.5,3,1,0.3,0,181.0,32.7,0,1711.6,1899.7,1809.7,1842.2,2034.6,1945.2,2020.2,-0.1749,3.4,26,1000.0,2,3,3
8,2018,1817.5,8,27.0,637.4,3,1,6,10,8,3,0.3333,3,0,2.8,0,182.3,33.8,6,1658.7,1827.8,1683.6,1705.1,1876.1,1856.4,2086.1,0.0491,6.5,33,0.0,3,1,0
9,2023,1813.2,11,28.5,1019.0,3,4,3,15,6,3,0.4333,1,0,0.6,0,185.3,33.3,8,1730.6,1872.5,1814.2,1818.8,1974.1,2116.4,2180.8,0.0123,2.2,34,0.0,4,0,0
10,2021,1914.2,4,24.8,755.5,5,1,4,12,8,2,0.5333,4,2,1.0,0,178.3,31.9,4,1724.4,1801.6,1740.8,1779.3,1887.9,1914.1,2015.7,-0.0244,8.1,20,0.0,4,6,1
11,1999,1845.8,24,30.2,454.5,2,3,5,13,12,3,0.3,4,0,1.8,0,181.8,35.4,2,1689.9,1729.5,1761.2,1753.9,1846.3,2071.8,2049.5,0.0365,3.0,44,0.0,2,4,1
12,2009,1851.0,17,26.9,730.4,7,1,2,13,1,1,0.7333,1,4,1.7,0,181.3,30.9,4,1596.0,1660.8,1739.4,1859.3,1997.2,1919.7,2024.9,0.0148,5.7,43,0.0,2,3,0
13,2008,1815.7,23,30.6,774.1,5,0,5,18,18,2,0.5,3,1,8.1,0,179.3,32.4,4,1697.7,1722.1,1843.2,1987.3,2006.9,2054.5,2044.6,-0.0981,7.2,31,0.0,0,9,1
14,2019,1861.3,10,22.0,581.9,7,2,1,19,8,3,0.7667,4,1,1.7,0,179.3,32.5,6,1654.7,1722.0,1800.0,1859.8,2011.6,2045.7,2036.0,0.1407,7.9,39,0.0,2,3,0
15,2021,1966.0,8,26.3,757.7,5,1,4,11,7,2,0.5333,4,2,0.6,0,181.5,30.7,7,1956.8,2100.4,1820.0,1964.4,1931.2,2001.7,2106.1,0.1704,8.2,25,0.0,2,0,0
16,1998,1862.1,1,25.7,550.5,4,2,4,12,4,1,0.4667,4,1,0.1,0,181.5,32.5,2,1871.3,2037.3,1803.4,1873.1,1940.9,2047.9,2058.9,-0.0231,7.2,39,0.0,1,4,4
17,2021,1905.6,7,24.5,826.8,3,4,3,15,11,4,0.4333,1,1,10.1,0,183.3,32.5,6,1812.7,1895.1,1744.1,1861.4,1840.8,1960.1,2067.4,-0.16,1.7,31,1000.0,0,6,3
18,2005,1724.9,16,22.7,614.5,4,3,3,6,6,2,0.5,6,0,0.6,0,179.2,33.4,2,1795.7,1953.5,1777.5,1845.0,1932.7,2063.7,2005.1,-0.1005,4.6,33,0.0,0,0,0
19,2002,1860.6,10,28.9,531.6,6,1,3,8,7,3,0.6333,1,1,2.0,0,177.7,31.8,2,1947.1,2113.3,1740.1,1838.6,1929.1,2099.2,2062.3,-0.0879,6.8,20,0.0,2,6,1
20,2021,1843.7,1,30.2,872.1,4,3,3,11,7,2,0.5,2,2,0.1,0,176.4,30.5,7,1573.6,1605.8,1688.5,1752.4,1804.1,1887.3,1984.2,-0.1155,4.9,44,0.0,0,9,3
21,2005,1771.9,15,27.4,411.9,2,2,6,11,6,3,0.2667,5,0,0.2,0,175.5,33.6,2,1809.1,1898.8,1732.2,1727.6,2000.2,1957.4,2102.3,-0.0181,5.0,25,0.0,2,9,4
22,2012,1861.3,12,28.0,793.3,6,2,2,8,4,0,0.6667,1,1,2.1,0,182.6,31.9,5,2037.1,2145.1,1704.6,1716.3,1825.4,1916.2,2024.9,-0.0068,5.6,42,2000.0,2,1,0
23,2024,1834.1,1,28.0,729.2,3,3,4,7,4,2,0.4,4,1,0.0,0,178.8,32.1,8,1735.8,1894.2,1785.4,1900.6,1824.0,2132.6,2188.0,-0.2273,4.6,42,0.0,3,3,0
24,2016,1996.5,7,26.9,949.7,4,4,2,10,7,3,0.5333,3,0,8.6,0,188.1,33.4,5,1817.7,1941.6,1687.7,1793.9,1864.0,2035.6,2011.3,-0.0614,7.2,43,0.0,2,9,5
25,2000,1716.0,25,26.1,499.7,4,3,3,10,10,1,0.5,4,1,0.2,0,181.5,31.3,1,1995.2,2067.6,1850.0,1947.0,1964.2,2082.5,2200.3,0.1763,5.3,37,0.0,0,6,1
26,2004,1763.0,1,28.9,915.1,3,4,3,14,6,6,0.4333,4,0,6.2,0,182.3,33.4,2,1789.7,1842.7,1781.5,1894.9,1850.4,1905.6,1972.0,0.0025,3.6,40,0.0,0,6,4
27,2025,1866.2,11,28.5,589.1,6,2,2,13,11,1,0.6667,1,0,0.8,0,181.8,33.4,7,1817.9,1930.8,1742.0,1818.1,1903.6,2047.5,2029.2,0.0238,6.1,36,0.0,4,1,0
28,2024,1873.7,1,27.0,568.8,3,2,5,11,8,4,0.3667,2,2,2.9,0,182.7,30.8,8,1502.9,1651.9,1760.8,1852.9,1972.3,2091.1,2094.4,-0.259,6.2,21,0.0,3,4,2
29,2005,1835.5,25,25.3,626.2,3,4,3,8,8,2,0.4333,5,0,0.3,0,178.7,34.6,3,1839.6,1927.2,1865.5,1939.2,2000.3,2051.5,2195.1,-0.0032,5.5,39,0.0,1,9,1
30,2004,1786.0,11,25.6,395.8,3,4,3,7,9,3,0.4333,4,1,0.4,0,181.0,33.4,3,1859.1,2013.3,1705.1,1813.1,1846.4,1958.6,1998.4,0.0753,6.3,42,0.0,1,0,0
31,1997,1911.3,22,26.3,853.5,6,2,2,17,13,1,0.6667,1,1,15.6,0,175.8,35.1,0,1534.4,1650.2,1858.0,1937.5,1988.3,2096.7,2147.8,0.1186,7.0,27,0.0,1,9,1
32,2010,1862.9,1,27.9,300.0,3,3,4,12,7,1,0.4,5,1,3.9,0,178.0,29.4,4,1767.3,1800.6,1745.0,1807.0,1936.3,1966.9,1952.0,0.187,6.6,42,1000.0,0,7,1
33,1997,1882.7,14,25.5,315.5,4,3,3,13,7,3,0.5,2,0,5.6,0,177.0,32.2,1,1709.1,1755.2,1713.4,1794.8,1835.4,2043.7,1996.8,0.0545,7.8,22,0.0,2,6,2
34,1994,1831.7,26,25.8,848.2,6,2,2,11,9,3,0.6667,5,1,1.6,0,176.6,32.5,1,1740.5,1774.5,1728.0,1803.7,1854.9,1978.3,1964.6,-0.0091,2.3,22,0.0,2,6,2
35,2010,1789.1,15,24.8,579.7,7,1,2,10,8,3,0.7333,5,1,6.9,0,180.8,31.5,5,1659.2,1806.9,1825.6,1868.1,1959.4,2057.6,2188.0,-0.088,5.5,38,0.0,3,0,0
